G,T
1194,130.0
1367,130.0
1214,130.0
1286,130.0
1406,130.0
1567,130.0
1438,130.0
1269,130.0
1485,130.0
1873,130.0
1900,130.0
1716,130.0
1639,130.0
1468,130.0
1308,130.0
1417,130.0
1793,130.0
1814,130.0
1710,200.0
1688,200.0
1502,200.0
1320,200.0
1190,200.0
1283,200.0
1412,200.0
1214,130.0
1313,130.0
1409,130.0
1425,130.0
1695,130.0
1803,130.0
1652,130.0
1550,130.0
1556,130.0
1507,130.0
1344,130.0
1628,130.0
1767,130.0
1666,130.0
1653,130.0
1502,130.0
1411,130.0
1345,130.0
1195,130.0
1215,130.0
1305,130.0
1221,130.0
1277,130.0
1242,130.0
1250,130.0
1479,130.0
1589,130.0
1620,130.0
1454,130.0
1489,130.0
1709,130.0
1660,130.0
1274,130.0
1349,130.0
1506,130.0
1857,130.0
1605,130.0
1521,130.0
1443,130.0
1210,130.0
1120,130.0
1125,130.0
1473,130.0
828,200.0
812,200.0
1241,200.0
1435,200.0
